INSTANCE,GAP_gomory,GAP_vpc,GAP_vpcnonbasicprojection,GAP_vpctrivialprojection,TIME_gomory,TIME_vpc,TIME_vpcnonbasicprojection,TIME_vpctrivialprojection,FEASIBLE_gomory,FEASIBLE_vpc,FEASIBLE_vpcnonbasicprojection,FEASIBLE_vpctrivialprojection
30n20b8,9.06,8.62,8.62,-123.45,23.18,82.48,131.77,3700.0,False,False,True,False
beasleyC3,8.05,0.66,0.66,0.66,0.08,7.75,12.75,18.38,False,False,True,True
binkar10_1,7.32,6.15,6.15,6.15,0.1,2.97,6.8,13.24,False,False,True,True
bnatt400,0.0,0.0,0.0,-123.45,2.69,54.14,79.74,3700.0,False,False,True,False
cod105,0.89,0.44,0.44,0.44,6.24,10.38,11.98,170.09,False,False,True,True
cost266-UUE,23.54,21.18,21.18,21.18,0.59,23.88,17.86,23.33,False,False,True,True
csched007,8.68,3.39,3.39,3.39,0.22,14.35,18.21,220.4,False,False,True,True
exp-1-500-5-5,28.4,20.27,20.27,20.27,0.04,6.85,6.3,9.74,False,False,True,True
gen-ip002,2.15,0.91,0.91,0.91,0.01,2.01,3.27,3.32,False,False,True,True
glass4,0.0,0.0,0.0,0.0,0.03,2.23,4.47,4.26,False,False,True,True
graph20-20-1rand,0.0,0.0,0.0,0.0,0.32,2.69,5.17,6.43,False,False,True,True
graphdraw-domain,0.0,0.0,0.0,0.0,0.05,2.7,4.8,4.89,False,False,True,True
icir97_tension,19.03,19.03,19.03,19.03,0.37,21.29,21.65,32.69,False,False,True,True
mc11,3.57,0.54,0.54,0.54,0.13,73.17,67.28,67.56,False,False,True,True
mcsched,0.04,0.03,0.03,0.03,1.16,61.81,99.56,1667.55,False,False,True,True
mik-250-20-75-4,53.83,53.28,53.28,53.28,0.04,2.32,4.17,4.9,False,False,True,True
milo-v12-6-r2-40-1,0.0,29.13,29.13,0.0,0.63,30.33,42.34,4063.8,False,False,True,True
n5-3,17.4,17.4,17.4,17.4,0.12,4.97,5.91,7.55,False,False,True,True
neos-1582420,5.91,2.12,2.12,2.12,1.94,80.15,56.97,790.77,False,False,True,True
neos-3083819-nubu,55.72,53.64,53.64,53.64,0.24,13.36,10.77,19.64,False,False,True,True
neos-3216931-puriri,3.7,3.24,3.24,-123.45,21.48,206.2,163.69,3700.0,False,False,True,False
neos-3381206-awhea,0.0,0.0,0.0,0.0,0.16,68.41,37.96,54.9,False,False,True,True
neos-3627168-kasai,8.56,8.51,8.51,8.51,0.12,5.02,9.68,81.75,False,False,True,True
neos-911970,0.0,0.0,0.0,0.0,0.08,2.2,3.7,6.52,False,False,True,True
neos17,0.0,0.25,0.25,0.25,0.06,2.98,4.96,6.97,False,False,True,True
neos5,11.44,8.33,8.33,8.33,0.01,1.29,2.56,4.12,False,False,True,True
ns1208400,0.0,0.0,0.0,-123.45,4.02,59.57,81.88,3700.0,False,False,True,False
ns1830653,11.74,3.93,3.93,3.93,1.13,4.82,12.99,411.74,False,False,True,True
nu25-pr12,49.21,34.92,34.92,34.92,0.26,11.84,18.84,21.85,False,False,True,True
p200x1188c,0.72,0.32,0.32,0.32,0.04,2.56,4.63,5.64,False,False,True,True
pg,24.29,24.3,24.3,24.3,0.05,13.08,17.47,27.91,False,False,True,True
pg5_34,23.45,23.45,23.45,23.45,0.06,13.08,16.43,20.36,False,False,True,True
ran14x18-disj-8,0.16,0.13,0.13,0.13,0.17,2.77,4.86,492.78,False,False,True,True
reblock115,3.24,4.79,4.79,0.0,1.75,34.3,51.67,4422.12,False,False,True,True
rococoC10-001000,26.46,16.4,16.4,16.4,0.25,14.74,20.71,36.38,False,False,True,True
roll3000,26.1,0.56,0.56,0.56,0.45,5.0,12.18,81.9,False,False,True,True
seymour1,13.27,13.27,13.27,13.27,0.89,7.96,14.13,403.98,False,False,True,True
sp150x300d,33.87,1.21,1.21,1.21,0.01,1.96,4.13,3.46,False,False,True,True
timtab1,12.56,11.24,11.24,11.24,0.01,1.83,5.75,3.66,False,False,True,True
tr12-30,-301.3,-301.3,-301.3,-301.3,0.06,6.55,23.38,15.33,False,False,True,True
traininstance6,0.0,0.0,0.0,0.0,2.79,6.15,15.47,11.79,False,False,True,True
uct-subprob,3.54,3.36,3.36,3.36,1.08,38.89,80.91,875.31,False,False,True,True
