Name,StatusStat.,VariablesVari.,BinariesBina.,IntegersInte.,ContinuousCont.,ConstraintsCons.,Nonz.Nonz.,ObjectiveObje.,Dual Bound,Primal Bound,Gap%,Nodes,Time,Status,Solution
30n20b8,easy,18380.0,18318.0,62.0,0,576,109706,302,302.0,302.0,0.0,2053,150,ok,ok
binkar10_1,easy,2298.0,170.0,0.0,2128,1026,4496,6742.1998835,6742.20002,6742.20002,0.0,1829,17,ok,ok
bnatt400,easy,3600.0,3600.0,0.0,0,5614,21698,1,1.0,1.0,0.0,6537,151,ok,ok
cod105,easy,1024.0,1024.0,0.0,0,1024,57344,-12,-12.0,-12.0,0.0,3,42,ok,ok
cost266-UUE,easy,4161.0,171.0,0.0,3990,1446,12312,25148940.55999998,25148940.6,25148940.6,0.0,273638,2834,ok,ok
csched007,easy,1758.0,1457.0,0.0,301,351,6379,350.9999999999955,351.0,351.0,0.0,92266,1508,ok,ok
gen-ip002,easy,41.0,0.0,41.0,0,24,922,-4783.733392,-4783.73339,-4783.73339,0.0,5453901,658,ok,ok
glass4,easy,322.0,302.0,0.0,20,396,1815,1200012599.972384,1200012600.0,1200012600.0,0.0,153562,242,ok,ok
graph20-20-1rand,easy,2183.0,2183.0,0.0,0,5587,19277,-9,-9.0,-9.0,0.0,259,3,ok,ok
graphdraw-domain,easy,254.0,180.0,20.0,54,865,2600,19685.99997550038,19686.0,19686.0,0.0,2462573,783,ok,ok
icir97_tension,easy,2494.0,262.0,573.0,1659,1203,22333,6375,6375.0,6375.0,0.0,1461563,4040,ok,ok
mc11,easy,3040.0,1520.0,0.0,1520,1920,6080,11688.99999999966,11689.0,11689.0,0.0,5,20,ok,ok
mcsched,easy,1747.0,1745.0,0.0,2,2107,8088,211913,211913.0,211913.0,0.0,9535,217,ok,ok
mik-250-20-75-4,easy,270.0,75.0,175.0,20,195,9270,-52301,-52301.0,-52301.0,0.0,17927,36,ok,ok
milo-v12-6-r2-40-1,easy,2688.0,840.0,0.0,1848,5628,14604,326481.14282799,326481.143,326481.143,0.0,412157,4302,ok,ok
n5-3,easy,2550.0,0.0,150.0,2400,1062,9900,8104.999999993999,8105.0,8105.0,0.0,1874,40,ok,ok
neos-1582420,easy,10100.0,10000.0,100.0,0,10180,24814,90.99999999999996,91.0,91.0,0.0,43,13,ok,ok
neos-3083819-nubu,easy,8644.0,0.0,8644.0,0,4725,24048,6307996,6307996.0,6307996.0,0.0,1385,10,ok,ok
neos-3216931-puriri,easy,3555.0,3268.0,0.0,287,5989,91691,71320,71320.0,71320.0,0.0,2667,3473,ok,ok
neos-3627168-kasai,easy,1462.0,535.0,0.0,927,1655,5158,988585.6199999998,988585.62,988585.62,0.0,247215,295,ok,ok
neos-911970,easy,888.0,840.0,0.0,48,107,3408,54.76,54.76,54.76,0.0,1187,14,ok,ok
neos17,easy,535.0,300.0,0.0,235,486,4931,0.1500025774,0.150002577,0.150002577,0.0,2298,4,ok,ok
neos5,easy,63.0,53.0,0.0,10,63,2016,15,15.0,15.0,0.0,2437610,558,ok,ok
ns1208400,easy,2883.0,2880.0,0.0,3,4289,81746,2,2.0,2.0,0.0,2049,465,ok,ok
ns1830653,easy,1629.0,1458.0,0.0,171,2932,100933,20622,20622.0,20622.0,0.0,6269,146,ok,ok
nu25-pr12,easy,5868.0,5832.0,36.0,0,2313,17712,53904.99999999999,53905.0,53905.0,0.0,65,4,ok,ok
pg5_34,easy,2600.0,100.0,0.0,2500,225,7700,-14339.35345,-14339.3534,-14339.3534,0.0,180891,4360,ok,ok
pg,easy,2700.0,100.0,0.0,2600,125,5200,-8674.34260712,-8674.34261,-8674.34261,0.0,727,22,ok,ok
ran14x18-disj-8,easy,504.0,252.0,0.0,252,447,10277,3712,3712.0,3712.0,0.0,291502,862,ok,ok
reblock115,easy,1150.0,1150.0,0.0,0,4735,13724,-36800603.2332,-36800603.2,-36800603.2,0.0,618898,3712,ok,ok
rococoC10-001000,easy,3117.0,2993.0,124.0,0,1293,11751,11460,11460.0,11460.0,0.0,45738,633,ok,ok
roll3000,easy,1166.0,246.0,492.0,428,2295,29386,12889.999992,12890.0,12890.0,0.0,1200,20,ok,ok
seymour1,easy,1372.0,451.0,0.0,921,4944,33549,410.76370139,410.763701,410.763701,0.0,1370,45,ok,ok
sp150x300d,easy,600.0,300.0,0.0,300,450,1200,69,69.0,69.0,0.0,677,1,ok,ok
timtab1,easy,397.0,77.0,94.0,226,171,829,764771.99999978,764772.0,764772.0,0.0,26692,52,ok,ok
tr12-30,easy,1080.0,360.0,0.0,720,750,2508,130595.9999999999,130596.0,130596.0,0.0,345154,400,ok,ok
traininstance6,easy,10218.0,4154.0,2056.0,4008,12309,32785,28290,28290.0,28290.0,0.0,468118,987,ok,ok
uct-subprob,easy,2256.0,379.0,0.0,1877,1973,10147,314,314.0,314.0,0.0,47598,1227,ok,ok
